,Nome,Valor
221,['Dragão de Esmeralda // Onda Dissonante\nEmerald Dragon // Dissonant Wave'],"['R$ 0,48']"
222,"['Erinis, Espreitadora Sombria\nErinis, Gloom Stalker']","['R$ 0,44']"
223,['Ettercap // Tiro de Teia\nEttercap // Web Shot'],"['R$ 2,41']"
224,['Explorar o Subterrâneo\nExplore the Underdark'],"['R$ 0,43']"
225,['Ankheg Gigante\nGiant Ankheg'],"['R$ 0,44']"
226,"['Halsin, Arquidruida Esmeralda\nHalsin, Emerald Archdruid']","['R$ 0,44']"
227,['Forasteiro Robusto\nHardy Outlander'],"['R$ 18,94']"
228,['Orbe dos Dragões de Jade\nJade Orb of Dragonkind'],"['R$ 1,88']"
229,"['Jaheira, Amiga da Floresta\nJaheira, Friend of the Forest']","['R$ 1,90']"
230,"[""Trégua de Jaheira\nJaheira's Respite""]","['R$ 0,44']"
231,['Dragão Verde à Espreita\nLurking Green Dragon'],"['R$ 3,88']"
232,['Gênese Majestosa\nMajestic Genesis'],"['R$ 2,72']"
233,['Mestre-cuca\nMaster Chef'],"['R$ 2,72']"
234,['Manual dos Monstros // Estudo Zoológico\nMonster Manual // Zoological Study'],"['R$ 1,94']"
235,['Cuidador de Esporos Miconídeo\nMyconid Spore Tender'],"['R$ 0,55']"
236,"[""Sabedoria da Natureza\nNature's Lore""]","['R$ 19,44']"
237,['Confronto Avassalador\nOverwhelming Encounter'],"['R$ 11,25']"
238,['Filhote de Urso-coruja\nOwlbear Cub'],"['R$ 0,44']"
239,['Pastora de Urso-coruja\nOwlbear Shepherd'],"['R$ 23,94']"
240,['Envenenar a Lâmina\nPoison the Blade'],"['R$ 0,43']"
241,['Ímpeto Predatório\nPredatory Impetus'],"['R$ 28,75']"
242,['Criado por Gigantes\nRaised by Giants'],"['R$ 0,45']"
243,['Sela do Cavaleiro\nSaddle of the Cavalier'],"['R$ 10,90']"
244,['Cultivador Escamoso\nScaled Nurturer'],"['R$ 2,42']"
245,['Elfa Atiradora de Elite\nSharpshooter Elf'],"['R$ 14,44']"
246,"[""Invocador de Silvanus\nSilvanus's Invoker""]","['R$ 1,00']"
