,Nome,Valor
167,['Coroação do Caos\nCoronation of Chaos'],"['R$ 0,45']"
168,['Descida ao Avernus\nDescent into Avernus'],"['R$ 17,89']"
169,['Cultista do Dragão\nDragon Cultist'],"['R$ 1,94']"
170,['Tremor de Terra\nEarth Tremor'],"['R$ 0,45']"
171,['Sobreviventes de Elturel\nElturel Survivors'],"['R$ 6,95']"
172,['Dragão das Presas // Golpe de Cauda Bifurcada\nFang Dragon // Forktail Sweep'],"['R$ 0,45']"
173,['Flautista Firbolg\nFirbolg Flutist'],"['R$ 6,95']"
174,['Bola de Fogo\nFireball'],"['R$ 0,25']"
175,"['Ganax, Caçador Astral\nGanax, Astral Hunter']","['R$ 2,41']"
176,['Impositores Genasi\nGenasi Enforcers'],"['R$ 0,45']"
177,['Bando Guerreiro Gnoll\nGnoll War Band'],"['R$ 1,42']"
178,['Artesão de Guilda\nGuild Artisan'],"['R$ 1,48']"
179,"['Gut, Zelote Alma Verdadeira\nGut, True Soul Zealot']","['R$ 2,41']"
180,['Ogro Acumulador\nHoarding Ogre'],"['R$ 0,15']"
181,['Artilheiro Engenhoso\nIngenious Artillerist'],"['R$ 0,48']"
182,['Engenhocagem Inspirada\nInspired Tinkering'],"['R$ 8,43']"
183,['Baladeiro Insuportável\nInsufferable Balladeer'],"['R$ 0,44']"
184,['Azagaia Relâmpago\nJavelin of Lightning'],"['R$ 0,44']"
185,"['Karlach, Fúria do Avernus\nKarlach, Fury of Avernus']","['R$ 53,94']"
186,['Raio\nLightning Bolt'],"['R$ 7,95']"
187,"['Livaan, Cultista de Tiamat\nLivaan, Cultist of Tiamat']","['R$ 1,95']"
188,['Fênix Nêmesis\nNemesis Phoenix'],"['R$ 1,95']"
189,['Ataque em Bando\nPack Attack'],"['R$ 0,44']"
190,['Patrona das Artes\nPatron of the Arts'],"['R$ 0,45']"
191,['Artista Popular\nPopular Entertainer'],"['R$ 6,95']"
192,['Bárbaro Imprudente\nReckless Barbarian'],"['R$ 0,44']"
193,['Ímpeto Brilhante\nShiny Impetus'],"['R$ 0,42']"
194,['Barda Despertadora\nStirring Bard'],"['R$ 0,45']"
195,"[""Trovão do Rei da Tempestade\nStorm King's Thunder""]","['R$ 48,72']"
196,['Criança de Rua\nStreet Urchin'],"['R$ 1,95']"
197,['Espadachim Extraordinário\nSwashbuckler Extraordinaire'],"['R$ 1,90']"
198,['Kobold Provocador\nTaunting Kobold'],"['R$ 1,00']"
199,['Valentão de Taverna\nTavern Brawler'],"['R$ 0,44']"
200,['Onda Trovejante\nThunderwave'],"['R$ 1,85']"
201,"[""Fanáticos de Tiamat\nTiamat's Fanatics""]","['R$ 0,45']"
202,['Machado de Duas Mãos\nTwo-Handed Axe'],"['R$ 2,42']"
203,['Varinha das Maravilhas\nWand of Wonder'],"['R$ 6,95']"
204,['Ladrão de Armazéns\nWarehouse Thief'],"['R$ 0,44']"
205,['Surto de Magia Selvagem\nWild Magic Surge'],"['R$ 3,88']"
206,['Dragão Vermelho Irado\nWrathful Red Dragon'],"['R$ 24,90']"
207,"['Wyll, Lâmina das Fronteiras\nWyll, Blade of Frontiers']","['R$ 6,95']"
208,"[""Inversão de Wyll\nWyll's Reversal""]","['R$ 6,95']"
209,['Dragão Vermelho Jovem // Banhar-se em Ouro\nYoung Red Dragon // Bathe in Gold'],"['R$ 0,45']"
210,"[""Flagraram Você Roubando\nYou've Been Caught Stealing""]","['R$ 0,44']"
211,['Acólito de Bahamut\nAcolyte of Bahamut'],"['R$ 2,43']"
212,['Draconata Ambiciosa\nAmbitious Dragonborn'],"['R$ 0,44']"
213,['Dragão de Bronze Ancião\nAncient Bronze Dragon'],"['R$ 84,94']"
214,['Caçador Vingador\nAvenging Hunter'],"['R$ 0,45']"
215,['Coligar\nBand Together'],"['R$ 0,10']"
216,['Briga de Taverna\nBarroom Brawl'],"['R$ 5,95']"
217,['Soberana do Espinheiro\nBramble Sovereign'],"['R$ 53,44']"
218,['Domadora de Suínos Despreocupada\nCarefree Swinemaster'],"['R$ 0,44']"
219,['Druida do Círculo da Terra\nCircle of the Land Druid'],"['R$ 0,44']"
220,['Eremita de Floresta do Manto\nCloakwood Hermit'],"['R$ 2,44']"
221,['Protetor do Enxame de Floresta do Manto\nCloakwood Swarmkeeper'],"['R$ 0,45']"
222,['Texugo Colossal // Cavar Fundo\nColossal Badger // Dig Deep'],"['R$ 0,44']"
223,['Muralistas Dracônicos\nDraconic Muralists'],"['R$ 1,95']"
224,['Linorme Atroz // Deflexão das Escamas\nDread Linnorm // Scale Deflection'],"['R$ 0,43']"
225,['Druida do Bosque Esmeralda\nDruid of the Emerald Grove'],"['R$ 0,44']"
226,['Ritual Druídico\nDruidic Ritual'],"['R$ 0,44']"
227,['Dragão do Terremoto\nEarthquake Dragon'],"['R$ 19,25']"
228,['Dragão de Esmeralda // Onda Dissonante\nEmerald Dragon // Dissonant Wave'],"['R$ 1,88']"
229,"['Erinis, Espreitadora Sombria\nErinis, Gloom Stalker']","['R$ 1,90']"
230,['Ettercap // Tiro de Teia\nEttercap // Web Shot'],"['R$ 0,44']"
231,['Explorar o Subterrâneo\nExplore the Underdark'],"['R$ 3,88']"
232,['Ankheg Gigante\nGiant Ankheg'],"['R$ 1,95']"
233,"['Halsin, Arquidruida Esmeralda\nHalsin, Emerald Archdruid']","['R$ 2,72']"
234,['Forasteiro Robusto\nHardy Outlander'],"['R$ 1,94']"
235,['Orbe dos Dragões de Jade\nJade Orb of Dragonkind'],"['R$ 0,55']"
236,"['Jaheira, Amiga da Floresta\nJaheira, Friend of the Forest']","['R$ 19,44']"
237,"[""Trégua de Jaheira\nJaheira's Respite""]","['R$ 7,95']"
238,['Dragão Verde à Espreita\nLurking Green Dragon'],"['R$ 0,44']"
239,['Gênese Majestosa\nMajestic Genesis'],"['R$ 19,95']"
240,['Mestre-cuca\nMaster Chef'],"['R$ 0,43']"
241,['Manual dos Monstros // Estudo Zoológico\nMonster Manual // Zoological Study'],"['R$ 28,75']"
242,['Cuidador de Esporos Miconídeo\nMyconid Spore Tender'],"['R$ 0,45']"
243,"[""Sabedoria da Natureza\nNature's Lore""]","['R$ 10,90']"
244,['Confronto Avassalador\nOverwhelming Encounter'],"['R$ 2,42']"
245,['Filhote de Urso-coruja\nOwlbear Cub'],"['R$ 12,95']"
246,['Pastora de Urso-coruja\nOwlbear Shepherd'],"['R$ 1,00']"
247,['Envenenar a Lâmina\nPoison the Blade'],"['R$ 0,44']"
248,['Ímpeto Predatório\nPredatory Impetus'],"['R$ 0,44']"
249,['Criado por Gigantes\nRaised by Giants'],"['R$ 6,95']"
250,['Sela do Cavaleiro\nSaddle of the Cavalier'],"['R$ 1,50']"
251,['Cultivador Escamoso\nScaled Nurturer'],"['R$ 0,43']"
252,['Elfa Atiradora de Elite\nSharpshooter Elf'],"['R$ 1,42']"
253,"[""Invocador de Silvanus\nSilvanus's Invoker""]","['R$ 0,25']"
254,['Skanos Coração Dracônico\nSkanos Dragonheart'],"['R$ 1,44']"
255,['Serpente da Caveira\nSkullwinder'],"['R$ 1,88']"
256,['Repartir os Despojos\nSplit the Spoils'],"['R$ 2,33']"
257,['Atravessar as Terras Longínquas\nTraverse the Outlands'],"['R$ 24,44']"
258,['Miconídeo do Subcelário\nUndercellar Myconid'],"['R$ 0,44']"
259,['Aventureiro da Montanha Subterrânea\nUndermountain Adventurer'],"['R$ 7,95']"
260,"['Wilson, Urso Pardo Refinado\nWilson, Refined Grizzly']","['R$ 2,85']"
261,['Você Vê o Tarrasque\nYou Look Upon the Tarrasque'],"['R$ 1,88']"
262,['Vocês se Encontram numa Taverna\nYou Meet in a Tavern'],"['R$ 0,10']"
263,"['Alaundo, o Vidente\nAlaundo the Seer']","['R$ 7,74']"
264,"['Astarion, o Hedonista\nAstarion, the Decadent']","['R$ 6,39']"
265,"['Baba Lysaga, Bruxa da Noite\nBaba Lysaga, Night Witch']","['R$ 6,44']"
266,"['Bane, Senhor das Trevas\nBane, Lord of Darkness']","['R$ 7,95']"
267,"['Bhaal, Senhor do Assassinato\nBhaal, Lord of Murder']","['R$ 6,89']"
268,"['Cadira, Convocadora dos Pequenos\nCadira, Caller of the Small']","['R$ 2,88']"
269,['Comandante Liara Portyr\nCommander Liara Portyr'],"['R$ 1,90']"
270,['O Conselho dos Quatro\nThe Council of Four'],"['R$ 7,75']"
